structure	order	scaffold_id	scaffold_key	color
c1ccc(NCc2ccccn2)cc1	5021	scaffold.15712	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 1 FTCFXBBBKDOQJA-UHFFFAOYSA-N	1
c1ccc(CNc2cccnc2)cc1	5022	scaffold.15054	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 1 SQMRJGGCCLWSQR-UHFFFAOYSA-N	1
C(=C/c1cnccn1)\c1ccccc1	5023	scaffold.17727	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 UCDVGYTWCYDSRU-VOTSOKGWSA-N	1
C(=N/c1ccccn1)\c1ccccc1	5024	scaffold.16852	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 GFPQOWWUXFPGPU-GXDHUFHOSA-N	1
C(=C/c1ccncn1)\c1ccccc1	5025	scaffold.16773	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 IQRWJYZHFFPIKP-VOTSOKGWSA-N	1
C(=C/c1ncccn1)\c1ccccc1	5026	scaffold.15253	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 JVOZXKIBCDWEKA-BQYQJAHWSA-N	1
C(=C\c1ncccn1)\c1ccccc1	5027	scaffold.15892	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 JVOZXKIBCDWEKA-FPLPWBNLSA-N	1
C(=C/c1cncnc1)\c1ccccc1	5028	scaffold.16378	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 NTEKSFHVGYDVNE-VOTSOKGWSA-N	1
c1ccc(CCc2ccncn2)cc1	5029	scaffold.15116	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 1 AWSXJRCYZQPTSD-UHFFFAOYSA-N	1
c1ccc(CCc2cncnc2)cc1	5030	scaffold.16426	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 1 JBOLOCNTNXRUPG-UHFFFAOYSA-N	1
C(=C/c1cccnn1)\c1ccccc1	5031	scaffold.18189	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 CNYDPKJPMBRDPE-CMDGGOBGSA-N	1
c1ccc(CCc2cccnn2)cc1	5032	scaffold.21749	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 1 PGRFFRRAHWQALQ-UHFFFAOYSA-N	1
c1ccc(NNc2ccccc2)cc1	5033	scaffold.17441	14 2 3 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 1 YBQZXXMEJHZYMB-UHFFFAOYSA-N	1
N=C(Nc1ccccc1)c1cccnc1	5034	scaffold.27520	14 2 3 2 0 6 2 0 2 0 0 0 2 3 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 1 1 1 MNHNNNQQPRPXDW-UHFFFAOYSA-N	1
O=C(Nc1ccccc1)c1ccncc1	5035	scaffold.22885	14 2 3 2 0 6 2 0 2 0 0 0 2 3 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 1 1 1 FCTZHFATVFONMW-UHFFFAOYSA-N	1
